cargo,nome empresa,local,link
Desenvolver Backend Python Pleno,NAVA | Technology for Business,Home office,https://br.indeed.com/rc/clk?jk=4eabc3315055b6cb&fccid=4df8c09240f8f9eb&vjs=3
Estágio Analytics,SPC Brasil,Home office,https://br.indeed.com/rc/clk?jk=8c4d03b2bc6dbaa1&fccid=d829f1c4affe200a&vjs=3
Desenvolvedor Python,Planning,,https://br.indeed.com/rc/clk?jk=f2abcc5b0f091664&fccid=a275888eb7f600c9&vjs=3
Dev Python/Django,Join Tecnologia & Design,Home office,https://br.indeed.com/rc/clk?jk=4d03563b7541814d&fccid=a623d38851ccc739&vjs=3
Desenvolvedor(a) Python (Remoto),IBM,,https://br.indeed.com/rc/clk?jk=6c27f34db9d79d67&fccid=de71a49b535e21cb&vjs=3
Desenvolvedor Pleno (Python),Nomos - Melhores Investidores,Home office,https://br.indeed.com/rc/clk?jk=667c6cfefe2e992e&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor(a) em Python (Plataforma de Dados),Vertigo Tecnologia,Home office,https://br.indeed.com/rc/clk?jk=28f5305d8cb6e15a&fccid=d440598bc246c586&vjs=3
Desenvolvedor Python,Grupo LPJ,,https://br.indeed.com/rc/clk?jk=673d971751ec4bf4&fccid=99e6f33a32f966a3&vjs=3
Senior Python Developer,Bluelight Consulting,,https://br.indeed.com/rc/clk?jk=023fd7f6e91a86ed&fccid=a8bcbb5ebbd3ed25&vjs=3
Pessoa Desenvolvedora Python,Tech Sicredi,Home office,https://br.indeed.com/rc/clk?jk=a55578393f4e9b2e&fccid=0bedb393cb03c383&vjs=3
Desenvolvedor Front-end (Python),ALOLA PARTNERS,,https://br.indeed.com/rc/clk?jk=4f69f135708f595c&fccid=17a0d2eb65f89ede&vjs=3
[Squad] Desenvolvedor(a) SR | Python,Objective (Brazil),Home office,https://br.indeed.com/rc/clk?jk=815b9b5870a4845b&fccid=cf30ca4c0e3b06c5&vjs=3
Desenvolvedor Python Senior,PISOMTECH DESENVOLVIMENTO E CONSULTORIA EM...,,https://br.indeed.com/rc/clk?jk=2217d2f54417e929&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor Python Pleno,Koopere Cooperativa | Supero Soluções,Home office,https://br.indeed.com/rc/clk?jk=cd1c5cfa50fd17af&fccid=dd616958bd9ddc12&vjs=3
Desenvolver Backend Python Sênior,NAVA | Technology for Business,Home office,https://br.indeed.com/rc/clk?jk=6d846e170cada195&fccid=4df8c09240f8f9eb&vjs=3
Analista de Desenvolvimento Júnior,GRUPO MAIS VALOR,,https://br.indeed.com/rc/clk?jk=0b4413378cceba5a&fccid=5f2d921b62c9d49e&vjs=3
Desenvolvedor Python,Grupo LPJ,,https://br.indeed.com/rc/clk?jk=673d971751ec4bf4&fccid=99e6f33a32f966a3&vjs=3
Desenvolvedor Python – Porto Alegre – RS,Divulga Vagas,,https://br.indeed.com/rc/clk?jk=afebf81257d397ac&fccid=0bdb1c0532d12665&vjs=3
Java/Python Developer- Technology- Strats,Morgan Stanley,,https://br.indeed.com/rc/clk?jk=7d377c0ccb334ded&fccid=0c39fb2c91742dcf&vjs=3
Desenvolvedor Python | PJ,DEVIO SOFTWARES INTELIGENTES LTDA,,https://br.indeed.com/rc/clk?jk=92e636611ffa551a&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor Pleno (Python),Nomos - Melhores Investidores,Home office,https://br.indeed.com/rc/clk?jk=667c6cfefe2e992e&fccid=dd616958bd9ddc12&vjs=3
Analista de Back Office Jr.,Grupo Suno,Home office,https://br.indeed.com/rc/clk?jk=4d4a4acc3a61564d&fccid=7aff630fb548ce2d&vjs=3
Desenvolvedor PYTHON,CD2 Retail Tech,Home office,https://br.indeed.com/rc/clk?jk=134063a77eba4993&fccid=cb5e434c08ab79dd&vjs=3
Business Intelligence Analyst Jr - Remoto,alt.bank,Home office,https://br.indeed.com/rc/clk?jk=1bb2baf967b1e236&fccid=1e9636cf35f06baa&vjs=3
Engenheiro de Dados - Jr,MANFING SOFTWARE LTDA,,https://br.indeed.com/rc/clk?jk=4b1b340ec5298415&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor Backend Python Pleno,STORMGROUP,Home office,https://br.indeed.com/rc/clk?jk=ee26913d52ce1135&fccid=2404d9972c04d23e&vjs=3
Sr Backend Developer - Python - (100% Remoto),invillia,Home office,https://br.indeed.com/rc/clk?jk=e5f1fd1be11df687&fccid=f185a6210cec2dc0&vjs=3
Analista de Dados Pleno (Python Developer - Remoto),Looqbox,Home office,https://br.indeed.com/rc/clk?jk=c0dc9da06d786c84&fccid=9d68b046e5894c8d&vjs=3
Engenheiro de software (Front-end),CERC,Home office,https://br.indeed.com/rc/clk?jk=2d6ef30a07e8ce10&fccid=916536e9ef6b0922&vjs=3
Data Scientist - Conversational AI,Blip,Home office,https://br.indeed.com/rc/clk?jk=2b45d1f002190110&fccid=215f4162bebe8644&vjs=3
Java/Python Developer- Technology- Strats,Morgan Stanley,,https://br.indeed.com/rc/clk?jk=7d377c0ccb334ded&fccid=0c39fb2c91742dcf&vjs=3
Desenvolvedor PYTHON,CD2 Retail Tech,Home office,https://br.indeed.com/rc/clk?jk=134063a77eba4993&fccid=cb5e434c08ab79dd&vjs=3
Cientista de Dados,Dell Technologies,Home office,https://br.indeed.com/rc/clk?jk=f11da9da074262cc&fccid=dd09fe3b43125016&vjs=3
Estagiário de Backend,inChurch,,https://br.indeed.com/rc/clk?jk=c237024772d3ef50&fccid=e17267170634b17c&vjs=3
Analista de Dados Pleno (Python Developer - Remoto),Looqbox,Home office,https://br.indeed.com/rc/clk?jk=c0dc9da06d786c84&fccid=9d68b046e5894c8d&vjs=3
Analista de Dados - Foco em Precificação de Crédito,Tech Sicredi,Home office,https://br.indeed.com/rc/clk?jk=74216836e11b9a0f&fccid=0bedb393cb03c383&vjs=3
AGENTE DE ANÁLISE DE DADOS/ EC,GRUPO COMETA,Home office,https://br.indeed.com/rc/clk?jk=2fd137a2b43281d3&fccid=4f7199e47f27ef5f&vjs=3
Pessoa Cientista de Dados,alt.bank,Home office,https://br.indeed.com/rc/clk?jk=4eb78f0c67009c5e&fccid=1e9636cf35f06baa&vjs=3
Técnico Desenvolvimento Testes,RANDSTAD BRASIL RECURSOS HUMANOS LTDA.,,https://br.indeed.com/rc/clk?jk=59f323e01a2b11b0&fccid=f8b265243da9f9d7&vjs=3
Analista de dados (python),Netvagas - (617679818),,https://br.indeed.com/rc/clk?jk=86444ba2cd22f6de&fccid=dd616958bd9ddc12&vjs=3
ANALISTA DESENVOLVEDOR(A) JR - OSASCO,OEmprego,,https://br.indeed.com/rc/clk?jk=75e3442879fab6ed&fccid=919b31f0a22ef58e&vjs=3
Sr Backend Developer - Python - (100% Remoto),invillia,Home office,https://br.indeed.com/rc/clk?jk=e5f1fd1be11df687&fccid=f185a6210cec2dc0&vjs=3
Desenvolvedor Front-end (Python),ALOLA PARTNERS,,https://br.indeed.com/rc/clk?jk=4f69f135708f595c&fccid=17a0d2eb65f89ede&vjs=3
Estágio de Análise de dados,Zallpy Digital,Home office,https://br.indeed.com/rc/clk?jk=e78cfcf56f5b3154&fccid=2ac78f54db705d75&vjs=3
